"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-113.17","53.26","NEW SAREPTA AGCM","3014795","2019-01-01","2019","01","01","","2.3","","-13.4","","-5.5","","23.5","","0.0","","","","","","1.4","","","","","M","","M"
"-113.17","53.26","NEW SAREPTA AGCM","3014795","2019-01-02","2019","01","02","","7.8","","-1.5","","3.2","","14.8","","0.0","","","","","","0.0","","","","","M","","M"
"-113.17","53.26","NEW SAREPTA AGCM","3014795","2019-01-03","2019","01","03","","6.3","","-2.9","","1.7","","16.3","","0.0","","","","","","0.0","","","","","M","","M"
"-113.17","53.26","NEW SAREPTA AGCM","3014795","2019-01-04","2019","01","04","","-2.0","","-8.0","","-5.0","","23.0","","0.0","","","","","","0.0","","","","","M","","M"
"-113.17","53.26","NEW SAREPTA AGCM","3014795","2019-01-05","2019","01","05","","-4.6","","-5.9","","-5.2","","23.2","","0.0","","","","","","0.0","","","","","M","","M"
"-113.17","53.26","NEW SAREPTA AGCM","3014795","2019-01-06","2019","01","06","","-3.6","","-6.2","","-4.9","","22.9","","0.0","","","","","","0.5","","","","","M","","M"
"-113.17","53.26","NEW SAREPTA AGCM","3014795","2019-01-07","2019","01","07","","-6.1","","-19.4","","-12.7","","30.7","","0.0","","","","","","0.4","","","","","M","","M"
"-113.17","53.26","NEW SAREPTA AGCM","3014795","2019-01-08","2019","01","08","","-13.7","","-23.5","","-18.6","","36.6","","0.0","","","","","","0.0","","","","","M","","M"
"-113.17","53.26","NEW SAREPTA AGCM","3014795","2019-01-09","2019","01","09","","-11.2","","-14.3","","-12.8","","30.8","","0.0","","","","","","0.0","","","","","M","","M"
"-113.17","53.26","NEW SAREPTA AGCM","3014795","2019-01-10","2019","01","10","","-8.9","","-18.8","","-13.9","","31.9","","0.0","","","","","","0.0","","","","","M","","M"
"-113.17","53.26","NEW SAREPTA AGCM","3014795","2019-01-11","2019","01","11","","-5.9","","-16.0","","-10.9","","28.9","","0.0","","","","","","0.0","","","","","M","","M"
"-113.17","53.26","NEW SAREPTA AGCM","3014795","2019-01-12","2019","01","12","","0.9","","-10.7","","-4.9","","22.9","","0.0","","","","","","0.0","","","","","M","","M"
"-113.17","53.26","NEW SAREPTA AGCM","3014795","2019-01-13","2019","01","13","","-3.2","","-13.3","","-8.2","","26.2","","0.0","","","","","","0.0","","","","","M","","M"
"-113.17","53.26","NEW SAREPTA AGCM","3014795","2019-01-14","2019","01","14","","1.7","","-12.5","","-5.4","","23.4","","0.0","","","","","","0.0","","","","","M","","M"
"-113.17","53.26","NEW SAREPTA AGCM","3014795","2019-01-15","2019","01","15","","-2.7","","-12.2","","-7.5","","25.5","","0.0","","","","","","0.0","","","","","M","","M"
"-113.17","53.26","NEW SAREPTA AGCM","3014795","2019-01-16","2019","01","16","","-10.7","","-16.6","","-13.7","","31.7","","0.0","","","","","","0.0","","","","","M","","M"
"-113.17","53.26","NEW SAREPTA AGCM","3014795","2019-01-17","2019","01","17","","-16.6","","-21.0","","-18.8","","36.8","","0.0","","","","","","0.5","","","","","M","","M"
"-113.17","53.26","NEW SAREPTA AGCM","3014795","2019-01-18","2019","01","18","","-15.6","","-18.0","","-16.8","","34.8","","0.0","","","","","","0.4","","","","","M","","M"
"-113.17","53.26","NEW SAREPTA AGCM","3014795","2019-01-19","2019","01","19","","-13.6","","-17.6","","-15.6","","33.6","","0.0","","","","","","0.0","","","","","M","","M"
"-113.17","53.26","NEW SAREPTA AGCM","3014795","2019-01-20","2019","01","20","","1.9","","-15.4","","-6.7","","24.7","","0.0","","","","","","0.0","","","","","M","","M"
"-113.17","53.26","NEW SAREPTA AGCM","3014795","2019-01-21","2019","01","21","","-1.7","","-10.2","","-5.9","","23.9","","0.0","","","","","","0.0","","","","","M","","M"
"-113.17","53.26","NEW SAREPTA AGCM","3014795","2019-01-22","2019","01","22","","","M","","M","","M","","M","","M","","","","","","M","","","","M","","M"
"-113.17","53.26","NEW SAREPTA AGCM","3014795","2019-01-23","2019","01","23","","","M","","M","","M","","M","","M","","","","","","M","","","","M","","M"
"-113.17","53.26","NEW SAREPTA AGCM","3014795","2019-01-24","2019","01","24","","0.4","","-24.1","","-11.8","","29.8","","0.0","","","","","","0.4","","","","","M","","M"
