"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-120.78","50.11","MERRITT","1125073","2020-01-01","2020","01","01","","9.9","","2.3","","6.1","","11.9","","0.0","","","","","","0.0","","","","19","","34",""
"-120.78","50.11","MERRITT","1125073","2020-01-02","2020","01","02","","4.9","","-2.0","","1.4","","16.6","","0.0","","","","","","","M","","","","","",""
"-120.78","50.11","MERRITT","1125073","2020-01-03","2020","01","03","","12.6","","0.3","","6.5","","11.5","","0.0","","","","","","0.2","","","","18","","46",""
"-120.78","50.11","MERRITT","1125073","2020-01-04","2020","01","04","","9.7","","-0.2","","4.8","","13.2","","0.0","","","","","","3.4","","","","22","","61",""
"-120.78","50.11","MERRITT","1125073","2020-01-05","2020","01","05","","6.4","","1.2","","3.8","","14.2","","0.0","","","","","","0.0","","","","20","","45",""
"-120.78","50.11","MERRITT","1125073","2020-01-06","2020","01","06","","1.8","","-2.3","","-0.2","","18.2","","0.0","","","","","","","M","","","","","",""
"-120.78","50.11","MERRITT","1125073","2020-01-07","2020","01","07","","1.5","","-1.8","","-0.2","","18.2","","0.0","","","","","","","M","","","11","","34",""
"-120.78","50.11","MERRITT","1125073","2020-01-08","2020","01","08","","6.4","","-8.7","","-1.2","","19.2","","0.0","","","","","","","M","","","30","","31",""
"-120.78","50.11","MERRITT","1125073","2020-01-09","2020","01","09","","-3.9","","-12.7","","-8.3","","26.3","","0.0","","","","","","","","","","","","",""
"-120.78","50.11","MERRITT","1125073","2020-01-10","2020","01","10","","1.0","","-12.5","","-5.7","","23.7","","0.0","","","","","","","","","","6","","39",""
"-120.78","50.11","MERRITT","1125073","2020-01-11","2020","01","11","","2.3","","-4.6","","-1.2","","19.2","","0.0","","","","","","","M","","","","","",""
"-120.78","50.11","MERRITT","1125073","2020-01-12","2020","01","12","","-0.9","","-17.3","","-9.1","","27.1","","0.0","","","","","","","","","","29","","45",""
"-120.78","50.11","MERRITT","1125073","2020-01-13","2020","01","13","","-17.2","","-23.2","","-20.2","","38.2","","0.0","","","","","","","","","","","","",""
"-120.78","50.11","MERRITT","1125073","2020-01-14","2020","01","14","","-18.1","","-20.7","","-19.4","","37.4","","0.0","","","","","","","","","","","M","","M"
"-120.78","50.11","MERRITT","1125073","2020-01-15","2020","01","15","","","M","","M","","M","","M","","M","","","","","","","","","","M","","M"
"-120.78","50.11","MERRITT","1125073","2020-01-16","2020","01","16","","0.0","","-23.8","","-11.9","","29.9","","0.0","","","","","","","","","","","M","","M"
"-120.78","50.11","MERRITT","1125073","2020-01-17","2020","01","17","","-9.2","","-25.9","","-17.6","","35.6","","0.0","","","","","","","","","","","","",""
"-120.78","50.11","MERRITT","1125073","2020-01-18","2020","01","18","","-3.2","","-17.2","","-10.2","","28.2","","0.0","","","","","","","","","","","","",""
"-120.78","50.11","MERRITT","1125073","2020-01-19","2020","01","19","","6.0","","-3.4","","1.3","","16.7","","0.0","","","","","","","M","","","7","","47",""
"-120.78","50.11","MERRITT","1125073","2020-01-20","2020","01","20","","5.5","","-0.4","","2.6","","15.4","","0.0","","","","","","","M","","","","","",""
"-120.78","50.11","MERRITT","1125073","2020-01-21","2020","01","21","","6.0","","-0.4","","2.8","","15.2","","0.0","","","","","","","M","","","","","",""
"-120.78","50.11","MERRITT","1125073","2020-01-22","2020","01","22","","5.0","","-3.4","","0.8","","17.2","","0.0","","","","","","","M","","","","","",""
