"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-64.78","50.28","RIVIERE AU TONNERRE","704FEG0","2015-01-01","2015","01","01","","-5.0","","-21.0","","-13.0","","31.0","","0.0","","0.0","","6.0","","6.0","","10","","","","",""
"-64.78","50.28","RIVIERE AU TONNERRE","704FEG0","2015-01-02","2015","01","02","","-10.0","","-20.0","","-15.0","","33.0","","0.0","","0.0","","0.0","","0.0","","20","","","","",""
"-64.78","50.28","RIVIERE AU TONNERRE","704FEG0","2015-01-03","2015","01","03","","-14.0","","-27.0","","-20.5","","38.5","","0.0","","0.0","","2.2","","2.2","","19","","","","",""
"-64.78","50.28","RIVIERE AU TONNERRE","704FEG0","2015-01-04","2015","01","04","","","M","-23.0","","","M","","M","","M","0.0","","26.4","","26.4","","20","","","","",""
"-64.78","50.28","RIVIERE AU TONNERRE","704FEG0","2015-01-05","2015","01","05","","-5.0","","","M","","M","","M","","M","0.0","","2.4","","2.4","","35","","","","",""
"-64.78","50.28","RIVIERE AU TONNERRE","704FEG0","2015-01-06","2015","01","06","","-20.5","","","M","","M","","M","","M","0.0","","0.0","","0.0","","35","","","","",""
"-64.78","50.28","RIVIERE AU TONNERRE","704FEG0","2015-01-07","2015","01","07","","","M","-34.0","","","M","","M","","M","0.0","","0.0","","0.0","","35","","","","",""
"-64.78","50.28","RIVIERE AU TONNERRE","704FEG0","2015-01-08","2015","01","08","","-22.0","","-33.0","","-27.5","","45.5","","0.0","","0.0","","0.0","T","0.0","T","35","","","","",""
"-64.78","50.28","RIVIERE AU TONNERRE","704FEG0","2015-01-09","2015","01","09","","-7.0","","","M","","M","","M","","M","0.0","","4.6","","4.6","","32","","","","",""
"-64.78","50.28","RIVIERE AU TONNERRE","704FEG0","2015-01-10","2015","01","10","","-17.0","","-23.0","","-20.0","","38.0","","0.0","","0.0","","1.2","","1.2","","33","","","","",""
"-64.78","50.28","RIVIERE AU TONNERRE","704FEG0","2015-01-11","2015","01","11","","-17.0","","-30.0","","-23.5","","41.5","","0.0","","0.0","","0.0","T","0.0","T","33","","","","",""
"-64.78","50.28","RIVIERE AU TONNERRE","704FEG0","2015-01-12","2015","01","12","","-13.0","","-21.0","","-17.0","","35.0","","0.0","","0.0","","0.6","","0.6","","33","","","","",""
"-64.78","50.28","RIVIERE AU TONNERRE","704FEG0","2015-01-13","2015","01","13","","-16.0","","-26.0","","-21.0","","39.0","","0.0","","0.0","","0.0","","0.0","","33","","","","",""
"-64.78","50.28","RIVIERE AU TONNERRE","704FEG0","2015-01-14","2015","01","14","","-5.0","","-20.0","","-12.5","","30.5","","0.0","","0.0","","0.0","T","0.0","T","33","","","","",""
"-64.78","50.28","RIVIERE AU TONNERRE","704FEG0","2015-01-15","2015","01","15","","-4.0","","","M","","M","","M","","M","0.0","","1.2","","1.2","","33","","","","",""
"-64.78","50.28","RIVIERE AU TONNERRE","704FEG0","2015-01-16","2015","01","16","","-3.0","","-9.0","","-6.0","","24.0","","0.0","","0.0","","7.2","","7.2","","33","","","","",""
"-64.78","50.28","RIVIERE AU TONNERRE","704FEG0","2015-01-17","2015","01","17","","-10.0","","-21.0","","-15.5","","33.5","","0.0","","0.0","","3.4","","3.4","","30","","","","",""
"-64.78","50.28","RIVIERE AU TONNERRE","704FEG0","2015-01-18","2015","01","18","","2.0","","","M","","M","","M","","M","8.4","","0.0","T","8.4","","33","","","","",""
"-64.78","50.28","RIVIERE AU TONNERRE","704FEG0","2015-01-19","2015","01","19","","","M","","M","","M","","M","","M","16.9","","14.4","","31.3","","30","","","","",""
"-64.78","50.28","RIVIERE AU TONNERRE","704FEG0","2015-01-20","2015","01","20","","-5.0","","-6.0","","-5.5","","23.5","","0.0","","0.0","","7.8","","7.8","","35","","","","",""
