"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-117.60","61.32","FORT PROVIDENCE","2201799","2021-01-01","2021","01","01","","-17.2","","-21.2","","-19.2","","37.2","","0.0","","","","","","","","","","","","",""
"-117.60","61.32","FORT PROVIDENCE","2201799","2021-01-02","2021","01","02","","-21.2","","-23.2","","-22.2","","40.2","","0.0","","","","","","","","","","","","",""
"-117.60","61.32","FORT PROVIDENCE","2201799","2021-01-03","2021","01","03","","-19.7","","-23.5","","-21.6","","39.6","","0.0","","","","","","","","","","","","",""
"-117.60","61.32","FORT PROVIDENCE","2201799","2021-01-04","2021","01","04","","-19.9","","-31.4","","-25.7","","43.7","","0.0","","","","","","","","","","","","",""
"-117.60","61.32","FORT PROVIDENCE","2201799","2021-01-05","2021","01","05","","-17.9","","-31.4","","-24.7","","42.7","","0.0","","","","","","","","","","","","",""
"-117.60","61.32","FORT PROVIDENCE","2201799","2021-01-06","2021","01","06","","-10.8","","-21.5","","-16.2","","34.2","","0.0","","","","","","","","","","","","",""
"-117.60","61.32","FORT PROVIDENCE","2201799","2021-01-07","2021","01","07","","-4.1","","-21.9","","-13.0","","31.0","","0.0","","","","","","","","","","","","",""
"-117.60","61.32","FORT PROVIDENCE","2201799","2021-01-08","2021","01","08","","-10.1","","-20.0","","-15.0","","33.0","","0.0","","","","","","","","","","","","",""
"-117.60","61.32","FORT PROVIDENCE","2201799","2021-01-09","2021","01","09","","-2.3","","-15.9","","-9.1","","27.1","","0.0","","","","","","","","","","","","",""
"-117.60","61.32","FORT PROVIDENCE","2201799","2021-01-10","2021","01","10","","-7.5","","-14.7","","-11.1","","29.1","","0.0","","","","","","","","","","","","",""
"-117.60","61.32","FORT PROVIDENCE","2201799","2021-01-11","2021","01","11","","-4.8","","-15.3","","-10.0","","28.0","","0.0","","","","","","","","","","","","",""
"-117.60","61.32","FORT PROVIDENCE","2201799","2021-01-12","2021","01","12","","-1.9","","-13.9","","-7.9","","25.9","","0.0","","","","","","","","","","","","",""
"-117.60","61.32","FORT PROVIDENCE","2201799","2021-01-13","2021","01","13","","-4.8","","-11.2","","-8.0","","26.0","","0.0","","","","","","","","","","","","",""
"-117.60","61.32","FORT PROVIDENCE","2201799","2021-01-14","2021","01","14","","-11.2","","-21.0","","-16.1","","34.1","","0.0","","","","","","","","","","","","",""
"-117.60","61.32","FORT PROVIDENCE","2201799","2021-01-15","2021","01","15","","-8.5","","-19.2","","-13.8","","31.8","","0.0","","","","","","","","","","","","",""
"-117.60","61.32","FORT PROVIDENCE","2201799","2021-01-16","2021","01","16","","-10.0","","-19.0","","-14.5","","32.5","","0.0","","","","","","","","","","","","",""
"-117.60","61.32","FORT PROVIDENCE","2201799","2021-01-17","2021","01","17","","-14.0","","-20.2","","-17.1","","35.1","","0.0","","","","","","","","","","","","",""
"-117.60","61.32","FORT PROVIDENCE","2201799","2021-01-18","2021","01","18","","-15.0","","-17.6","","-16.3","","34.3","","0.0","","","","","","","","","","","","",""
"-117.60","61.32","FORT PROVIDENCE","2201799","2021-01-19","2021","01","19","","-2.9","","-15.1","","-9.0","","27.0","","0.0","","","","","","","","","","34","","33",""
