"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-124.40","51.67","TATLAYOKO LAKE RCS","1088015","2023-01-01","2023","01","01","","0.4","","-9.8","","-4.7","","22.7","","0.0","","","","","","","M","16","","","M","","M"
"-124.40","51.67","TATLAYOKO LAKE RCS","1088015","2023-01-02","2023","01","02","","-1.8","","-9.8","","-5.8","","23.8","","0.0","","","","","","","M","17","","","M","","M"
"-124.40","51.67","TATLAYOKO LAKE RCS","1088015","2023-01-03","2023","01","03","","0.1","","-9.2","","-4.6","","22.6","","0.0","","","","","","","M","16","","","M","","M"
"-124.40","51.67","TATLAYOKO LAKE RCS","1088015","2023-01-04","2023","01","04","","-7.6","","-11.6","","-9.6","","27.6","","0.0","","","","","","","M","16","","","M","","M"
"-124.40","51.67","TATLAYOKO LAKE RCS","1088015","2023-01-05","2023","01","05","","-2.5","","-12.3","","-7.4","","25.4","","0.0","","","","","","","M","16","","","M","","M"
"-124.40","51.67","TATLAYOKO LAKE RCS","1088015","2023-01-06","2023","01","06","","6.0","","-10.7","","-2.4","","20.4","","0.0","","","","","","","M","16","","","M","","M"
"-124.40","51.67","TATLAYOKO LAKE RCS","1088015","2023-01-07","2023","01","07","","1.3","","-9.1","","-3.9","","21.9","","0.0","","","","","","","M","16","","","M","","M"
"-124.40","51.67","TATLAYOKO LAKE RCS","1088015","2023-01-08","2023","01","08","","0.6","","-6.2","","-2.8","","20.8","","0.0","","","","","","","M","16","","","M","","M"
"-124.40","51.67","TATLAYOKO LAKE RCS","1088015","2023-01-09","2023","01","09","","-1.4","","-9.1","","-5.3","","23.3","","0.0","","","","","","","M","15","","","M","","M"
"-124.40","51.67","TATLAYOKO LAKE RCS","1088015","2023-01-10","2023","01","10","","-0.5","","-7.7","","-4.1","","22.1","","0.0","","","","","","","M","15","","","M","","M"
"-124.40","51.67","TATLAYOKO LAKE RCS","1088015","2023-01-11","2023","01","11","","-2.3","","-7.2","","-4.8","","22.8","","0.0","","","","","","","M","15","","","M","","M"
"-124.40","51.67","TATLAYOKO LAKE RCS","1088015","2023-01-12","2023","01","12","","-0.9","","-7.9","","-4.4","","22.4","","0.0","","","","","","","M","16","","","M","","M"
"-124.40","51.67","TATLAYOKO LAKE RCS","1088015","2023-01-13","2023","01","13","","4.3","","-2.1","","1.1","","16.9","","0.0","","","","","","","M","18","","","M","","M"
"-124.40","51.67","TATLAYOKO LAKE RCS","1088015","2023-01-14","2023","01","14","","1.7","","-4.3","","-1.3","","19.3","","0.0","","","","","","","M","16","","","M","","M"
"-124.40","51.67","TATLAYOKO LAKE RCS","1088015","2023-01-15","2023","01","15","","-0.2","","-5.9","","-3.0","","21.0","","0.0","","","","","","","M","16","","","M","","M"
"-124.40","51.67","TATLAYOKO LAKE RCS","1088015","2023-01-16","2023","01","16","","-0.5","","-7.9","","-4.2","","22.2","","0.0","","","","","","","M","16","","","M","","M"
"-124.40","51.67","TATLAYOKO LAKE RCS","1088015","2023-01-17","2023","01","17","","6.8","","-6.9","","-0.1","","18.1","","0.0","","","","","","","M","16","","","M","","M"
"-124.40","51.67","TATLAYOKO LAKE RCS","1088015","2023-01-18","2023","01","18","","5.5","","-6.9","","-0.7","","18.7","","0.0","","","","","","","M","15","","","M","","M"
"-124.40","51.67","TATLAYOKO LAKE RCS","1088015","2023-01-19","2023","01","19","","0.4","","-15.2","","-7.4","","25.4","","0.0","","","","","","","M","25","","","M","","M"
"-124.40","51.67","TATLAYOKO LAKE RCS","1088015","2023-01-20","2023","01","20","","3.2","","-1.7","","0.7","","17.3","","0.0","","","","","","","M","24","","","M","","M"
"-124.40","51.67","TATLAYOKO LAKE RCS","1088015","2023-01-21","2023","01","21","","2.8","","-3.6","","-0.4","","18.4","","0.0","","","","","","","M","22","","","M","","M"
"-124.40","51.67","TATLAYOKO LAKE RCS","1088015","2023-01-22","2023","01","22","","1.1","","-16.0","","-7.4","","25.4","","0.0","","","","","","","M","19","","","M","","M"
