"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-74.09","46.82","SAINT-MICHEL-DES-SAINTS","7077571","2015-01-01","2015","01","01","","-7.6","","-11.8","","-9.7","","27.7","","0.0","","","M","","M","3.6","","12","","27","","33",""
"-74.09","46.82","SAINT-MICHEL-DES-SAINTS","7077571","2015-01-02","2015","01","02","","-8.4","","-23.8","","-16.1","","34.1","","0.0","","","M","","M","","M","17","","27","","39",""
"-74.09","46.82","SAINT-MICHEL-DES-SAINTS","7077571","2015-01-03","2015","01","03","","-13.8","","-31.2","","-22.5","","40.5","","0.0","","","M","","M","","M","16","","","","<31",""
"-74.09","46.82","SAINT-MICHEL-DES-SAINTS","7077571","2015-01-04","2015","01","04","","-3.4","","-13.8","","-8.6","","26.6","","0.0","","","M","","M","","M","26","","27","","41",""
"-74.09","46.82","SAINT-MICHEL-DES-SAINTS","7077571","2015-01-05","2015","01","05","","-11.3","","-25.9","","-18.6","","36.6","","0.0","","","M","","M","","M","25","","27","","44",""
"-74.09","46.82","SAINT-MICHEL-DES-SAINTS","7077571","2015-01-06","2015","01","06","","-13.3","","-34.0","","-23.7","","41.7","","0.0","","","M","","M","0.6","","24","","","","<31",""
"-74.09","46.82","SAINT-MICHEL-DES-SAINTS","7077571","2015-01-07","2015","01","07","","-15.5","","-31.7","","-23.6","","41.6","","0.0","","","M","","M","1.1","","26","","33","","35",""
"-74.09","46.82","SAINT-MICHEL-DES-SAINTS","7077571","2015-01-08","2015","01","08","","-12.0","","-33.9","","-23.0","","41.0","","0.0","","","M","","M","3.1","","26","","","","<31",""
"-74.09","46.82","SAINT-MICHEL-DES-SAINTS","7077571","2015-01-09","2015","01","09","","-10.4","","-22.6","","-16.5","","34.5","","0.0","","","M","","M","3.2","","30","","26","","41",""
"-74.09","46.82","SAINT-MICHEL-DES-SAINTS","7077571","2015-01-10","2015","01","10","","-13.0","","-26.8","","-19.9","","37.9","","0.0","","","M","","M","0.2","","29","","27","","46",""
"-74.09","46.82","SAINT-MICHEL-DES-SAINTS","7077571","2015-01-11","2015","01","11","","-7.5","","-17.1","","-12.3","","30.3","","0.0","","","M","","M","1.8","","27","","","","<31",""
"-74.09","46.82","SAINT-MICHEL-DES-SAINTS","7077571","2015-01-12","2015","01","12","","-5.6","","-25.7","","-15.7","","33.7","","0.0","","","M","","M","4.5","","35","","34","","37",""
"-74.09","46.82","SAINT-MICHEL-DES-SAINTS","7077571","2015-01-13","2015","01","13","","-15.5","","-30.7","","-23.1","","41.1","","0.0","","","M","","M","0.0","","37","","","","<31",""
"-74.09","46.82","SAINT-MICHEL-DES-SAINTS","7077571","2015-01-14","2015","01","14","","-8.4","","-32.9","","-20.7","","38.7","","0.0","","","M","","M","0.0","","35","","","","<31",""
"-74.09","46.82","SAINT-MICHEL-DES-SAINTS","7077571","2015-01-15","2015","01","15","","-8.1","","-21.9","","-15.0","","33.0","","0.0","","","M","","M","1.9","","35","","","","<31",""
"-74.09","46.82","SAINT-MICHEL-DES-SAINTS","7077571","2015-01-16","2015","01","16","","-7.7","","-26.7","","-17.2","","35.2","","0.0","","","M","","M","0.7","","37","","30","","44",""
"-74.09","46.82","SAINT-MICHEL-DES-SAINTS","7077571","2015-01-17","2015","01","17","","-14.9","","-33.5","","-24.2","","42.2","","0.0","","","M","","M","0.5","","36","","","","<31",""
"-74.09","46.82","SAINT-MICHEL-DES-SAINTS","7077571","2015-01-18","2015","01","18","","-1.6","","-14.9","","-8.3","","26.3","","0.0","","","M","","M","4.6","","36","","","","<31",""
"-74.09","46.82","SAINT-MICHEL-DES-SAINTS","7077571","2015-01-19","2015","01","19","","-2.1","","-18.4","","-10.3","","28.3","","0.0","","","M","","M","3.9","","43","","28","","33",""
"-74.09","46.82","SAINT-MICHEL-DES-SAINTS","7077571","2015-01-20","2015","01","20","","-15.1","","-23.5","","-19.3","","37.3","","0.0","","","M","","M","","M","41","","27","","35",""
"-74.09","46.82","SAINT-MICHEL-DES-SAINTS","7077571","2015-01-21","2015","01","21","","-7.3","","-28.1","","-17.7","","35.7","","0.0","","","M","","M","","M","","","","","<31",""
"-74.09","46.82","SAINT-MICHEL-DES-SAINTS","7077571","2015-01-22","2015","01","22","","-7.1","","-29.9","","-18.5","","36.5","","0.0","","","M","","M","","M","40","","","","<31",""
"-74.09","46.82","SAINT-MICHEL-DES-SAINTS","7077571","2015-01-23","2015","01","23","","-2.7","","-12.7","","-7.7","","25.7","","0.0","","","M","","M","0.9","","40","","22","","37",""
