"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-65.33","48.01","NEW CARLISLE 1","7055422","2016-01-01","2016","01","01","","-3.5","","-6.3","","-4.9","","22.9","","0.0","","","M","","M","0.0","","","","28","","37",""
"-65.33","48.01","NEW CARLISLE 1","7055422","2016-01-02","2016","01","02","","-1.8","","-4.4","","-3.1","","21.1","","0.0","","","M","","M","1.0","","","","26","","50",""
"-65.33","48.01","NEW CARLISLE 1","7055422","2016-01-03","2016","01","03","","-4.4","","-9.9","","-7.2","","25.2","","0.0","","","M","","M","2.0","","","","4","","33",""
"-65.33","48.01","NEW CARLISLE 1","7055422","2016-01-04","2016","01","04","","-9.7","","-17.1","","-13.4","","31.4","","0.0","","","M","","M","0.0","","","","","","<31",""
"-65.33","48.01","NEW CARLISLE 1","7055422","2016-01-05","2016","01","05","","-8.9","","-17.3","","-13.1","","31.1","","0.0","","","M","","M","2.0","","","","27","","56",""
"-65.33","48.01","NEW CARLISLE 1","7055422","2016-01-06","2016","01","06","","-3.7","","-10.3","","-7.0","","25.0","","0.0","","","M","","M","0.0","","","","27","","50",""
"-65.33","48.01","NEW CARLISLE 1","7055422","2016-01-07","2016","01","07","","0.2","","-12.3","","-6.1","","24.1","","0.0","","","M","","M","0.0","","","","29","","39",""
"-65.33","48.01","NEW CARLISLE 1","7055422","2016-01-08","2016","01","08","","-4.5","","-15.1","","-9.8","","27.8","","0.0","","","M","","M","0.0","","","","","","<31",""
"-65.33","48.01","NEW CARLISLE 1","7055422","2016-01-09","2016","01","09","","-3.2","","-6.4","","-4.8","","22.8","","0.0","","","M","","M","0.0","","","","","","<31",""
"-65.33","48.01","NEW CARLISLE 1","7055422","2016-01-10","2016","01","10","","1.1","","-3.4","","-1.2","","19.2","","0.0","","","M","","M","7.0","","","","9","","37",""
