"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-121.24","61.76","FORT SIMPSON A","2202104","2022-01-01","2022","01","01","","-28.0","","-35.0","","-31.5","","49.5","","0.0","","","","","","","M","","","34","","52",""
"-121.24","61.76","FORT SIMPSON A","2202104","2022-01-02","2022","01","02","","-28.2","","-33.4","","-30.8","","48.8","","0.0","","","","","","","M","","","33","","50",""
"-121.24","61.76","FORT SIMPSON A","2202104","2022-01-03","2022","01","03","","-33.2","","-35.9","","-34.6","","52.6","","0.0","","","","","","","M","","","34","","40",""
"-121.24","61.76","FORT SIMPSON A","2202104","2022-01-04","2022","01","04","","-34.0","","-40.6","","-37.3","","55.3","","0.0","","","","","","","M","","","","","",""
"-121.24","61.76","FORT SIMPSON A","2202104","2022-01-05","2022","01","05","","-34.3","","-41.7","","-38.0","","56.0","","0.0","","","","","","","M","","","","","",""
"-121.24","61.76","FORT SIMPSON A","2202104","2022-01-06","2022","01","06","","-25.7","","-35.8","","-30.8","","48.8","","0.0","","","","","","","M","","","","","",""
"-121.24","61.76","FORT SIMPSON A","2202104","2022-01-07","2022","01","07","","-25.2","","-33.5","","-29.4","","47.4","","0.0","","","","","","","M","","","","","",""
"-121.24","61.76","FORT SIMPSON A","2202104","2022-01-08","2022","01","08","","-23.1","","-34.7","","-28.9","","46.9","","0.0","","","","","","","M","","","31","","43",""
"-121.24","61.76","FORT SIMPSON A","2202104","2022-01-09","2022","01","09","","-26.6","","-38.8","","-32.7","","50.7","","0.0","","","","","","","M","","","","","",""
"-121.24","61.76","FORT SIMPSON A","2202104","2022-01-10","2022","01","10","","-20.9","","-26.6","","-23.8","","41.8","","0.0","","","","","","","M","","","32","","31",""
"-121.24","61.76","FORT SIMPSON A","2202104","2022-01-11","2022","01","11","","-21.4","","-23.5","","-22.5","","40.5","","0.0","","","","","","","M","","","","","",""
"-121.24","61.76","FORT SIMPSON A","2202104","2022-01-12","2022","01","12","","-17.9","","-22.4","","-20.2","","38.2","","0.0","","","","","","","M","","","","","",""
"-121.24","61.76","FORT SIMPSON A","2202104","2022-01-13","2022","01","13","","-17.8","","-21.1","","-19.5","","37.5","","0.0","","","","","","","M","","","","","",""
"-121.24","61.76","FORT SIMPSON A","2202104","2022-01-14","2022","01","14","","-14.7","","-19.7","","-17.2","","35.2","","0.0","","","","","","","M","","","33","","46",""
