"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-111.45","54.28","ST. LINA AGCM","3015673","2019-01-01","2019","01","01","","0.9","","-12.9","","-6.0","","24.0","","0.0","","","","","","1.1","","","","","M","","M"
"-111.45","54.28","ST. LINA AGCM","3015673","2019-01-02","2019","01","02","","7.3","","-4.1","","1.6","","16.4","","0.0","","","","","","0.0","","","","","M","","M"
"-111.45","54.28","ST. LINA AGCM","3015673","2019-01-03","2019","01","03","","3.5","","-6.0","","-1.3","","19.3","","0.0","","","","","","0.0","","","","","M","","M"
"-111.45","54.28","ST. LINA AGCM","3015673","2019-01-04","2019","01","04","","-3.2","","-7.4","","-5.3","","23.3","","0.0","","","","","","0.0","","","","","M","","M"
"-111.45","54.28","ST. LINA AGCM","3015673","2019-01-05","2019","01","05","","-6.5","","-11.3","","-8.9","","26.9","","0.0","","","","","","0.0","","","","","M","","M"
"-111.45","54.28","ST. LINA AGCM","3015673","2019-01-06","2019","01","06","","-5.1","","-7.8","","-6.5","","24.5","","0.0","","","","","","0.0","","","","","M","","M"
"-111.45","54.28","ST. LINA AGCM","3015673","2019-01-07","2019","01","07","","-6.8","","-16.9","","-11.9","","29.9","","0.0","","","","","","0.5","","","","","M","","M"
"-111.45","54.28","ST. LINA AGCM","3015673","2019-01-08","2019","01","08","","-16.3","","-26.2","","-21.3","","39.3","","0.0","","","","","","0.7","","","","","M","","M"
"-111.45","54.28","ST. LINA AGCM","3015673","2019-01-09","2019","01","09","","-13.8","","-21.5","","-17.6","","35.6","","0.0","","","","","","1.6","","","","","M","","M"
"-111.45","54.28","ST. LINA AGCM","3015673","2019-01-10","2019","01","10","","-12.5","","-19.1","","-15.8","","33.8","","0.0","","","","","","0.9","","","","","M","","M"
"-111.45","54.28","ST. LINA AGCM","3015673","2019-01-11","2019","01","11","","","M","","M","","M","","M","","M","","","","","","M","","","","M","","M"
"-111.45","54.28","ST. LINA AGCM","3015673","2019-01-12","2019","01","12","","","M","","M","","M","","M","","M","","","","","","M","","","","M","","M"
"-111.45","54.28","ST. LINA AGCM","3015673","2019-01-13","2019","01","13","","","M","","M","","M","","M","","M","","","","","","M","","","","M","","M"
"-111.45","54.28","ST. LINA AGCM","3015673","2019-01-14","2019","01","14","","","M","","M","","M","","M","","M","","","","","","M","","","","M","","M"
"-111.45","54.28","ST. LINA AGCM","3015673","2019-01-15","2019","01","15","","","M","","M","","M","","M","","M","","","","","","M","","","","M","","M"
"-111.45","54.28","ST. LINA AGCM","3015673","2019-01-16","2019","01","16","","-16.3","","-20.5","","-18.4","","36.4","","0.0","","","","","","1.9","","","","","M","","M"
"-111.45","54.28","ST. LINA AGCM","3015673","2019-01-17","2019","01","17","","-17.6","","-33.3","","-25.5","","43.5","","0.0","","","","","","0.8","","","","","M","","M"
"-111.45","54.28","ST. LINA AGCM","3015673","2019-01-18","2019","01","18","","-20.7","","-34.1","","-27.4","","45.4","","0.0","","","","","","0.6","","","","","M","","M"
"-111.45","54.28","ST. LINA AGCM","3015673","2019-01-19","2019","01","19","","-15.8","","-21.8","","-18.8","","36.8","","0.0","","","","","","2.7","","","","","M","","M"
"-111.45","54.28","ST. LINA AGCM","3015673","2019-01-20","2019","01","20","","-5.2","","-19.1","","-12.1","","30.1","","0.0","","","","","","0.0","","","","","M","","M"
"-111.45","54.28","ST. LINA AGCM","3015673","2019-01-21","2019","01","21","","-5.2","","-12.2","","-8.7","","26.7","","0.0","","","","","","0.0","","","","","M","","M"
"-111.45","54.28","ST. LINA AGCM","3015673","2019-01-22","2019","01","22","","","M","","M","","M","","M","","M","","","","","","M","","","","M","","M"
"-111.45","54.28","ST. LINA AGCM","3015673","2019-01-23","2019","01","23","","","M","","M","","M","","M","","M","","","","","","M","","","","M","","M"
"-111.45","54.28","ST. LINA AGCM","3015673","2019-01-24","2019","01","24","","-7.7","","-26.1","","-16.9","","34.9","","0.0","","","","","","0.4","","","","","M","","M"
"-111.45","54.28","ST. LINA AGCM","3015673","2019-01-25","2019","01","25","","-1.6","","-15.9","","-8.7","","26.7","","0.0","","","","","","0.9","","","","","M","","M"
"-111.45","54.28","ST. LINA AGCM","3015673","2019-01-26","2019","01","26","","5.5","","-5.0","","0.2","","17.8","","0.0","","","","","","0.0","","","","","M","","M"
"-111.45","54.28","ST. LINA AGCM","3015673","2019-01-27","2019","01","27","","6.8","","-9.7","","-1.5","","19.5","","0.0","","","","","","1.4","","","","","M","","M"
"-111.45","54.28","ST. LINA AGCM","3015673","2019-01-28","2019","01","28","","-9.7","","-24.7","","-17.2","","35.2","","0.0","","","","","","0.0","","","","","M","","M"
"-111.45","54.28","ST. LINA AGCM","3015673","2019-01-29","2019","01","29","","-19.0","","-28.8","","-23.9","","41.9","","0.0","","","","","","0.6","","","","","M","","M"
