"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-121.50","49.37","HOPE A","1113542","2021-01-01","2021","01","01","","9.6","","3.2","","6.4","","11.6","","0.0","","","","","","34.8","","","","18","","33",""
"-121.50","49.37","HOPE A","1113542","2021-01-02","2021","01","02","","9.3","","5.2","","7.3","","10.7","","0.0","","","","","","64.2","","","","30","","50",""
"-121.50","49.37","HOPE A","1113542","2021-01-03","2021","01","03","","6.8","","2.8","","4.8","","13.2","","0.0","","","","","","11.9","","","","","M","","M"
"-121.50","49.37","HOPE A","1113542","2021-01-04","2021","01","04","","6.5","","2.8","","4.7","","13.3","","0.0","","","","","","22.3","","","","27","","50",""
"-121.50","49.37","HOPE A","1113542","2021-01-05","2021","01","05","","5.4","","1.9","","3.7","","14.3","","0.0","","","","","","18.6","","","","","M","","M"
"-121.50","49.37","HOPE A","1113542","2021-01-06","2021","01","06","","6.3","","2.1","","4.2","","13.8","","0.0","","","","","","19.9","","","","","M","","M"
"-121.50","49.37","HOPE A","1113542","2021-01-07","2021","01","07","","5.9","","1.0","","3.5","","14.5","","0.0","","","","","","0.5","","","","12","","35",""
"-121.50","49.37","HOPE A","1113542","2021-01-08","2021","01","08","","4.9","","2.3","","3.6","","14.4","","0.0","","","","","","0.9","","","","13","","41",""
"-121.50","49.37","HOPE A","1113542","2021-01-09","2021","01","09","","5.4","","1.1","","3.3","","14.7","","0.0","","","","","","0.0","","","","","M","","M"
"-121.50","49.37","HOPE A","1113542","2021-01-10","2021","01","10","","5.8","","2.5","","4.2","","13.8","","0.0","","","","","","0.0","","","","","M","","M"
"-121.50","49.37","HOPE A","1113542","2021-01-11","2021","01","11","","6.6","","3.2","","4.9","","13.1","","0.0","","","","","","11.2","","","","","M","","M"
"-121.50","49.37","HOPE A","1113542","2021-01-12","2021","01","12","","8.2","","4.8","","6.5","","11.5","","0.0","","","","","","29.1","","","","12","","32",""
"-121.50","49.37","HOPE A","1113542","2021-01-13","2021","01","13","","","M","","M","","M","","M","","M","","","","","","M","","","","M","","M"
"-121.50","49.37","HOPE A","1113542","2021-01-14","2021","01","14","","7.8","","1.0","","4.4","","13.6","","0.0","","","","","","0.0","","","","12","","35",""
"-121.50","49.37","HOPE A","1113542","2021-01-15","2021","01","15","","8.5","","2.7","","5.6","","12.4","","0.0","","","","","","1.6","","","","","M","","M"
"-121.50","49.37","HOPE A","1113542","2021-01-16","2021","01","16","","7.0","","2.5","","4.8","","13.2","","0.0","","","","","","1.0","","","","","M","","M"
"-121.50","49.37","HOPE A","1113542","2021-01-17","2021","01","17","","7.3","","4.6","","6.0","","12.0","","0.0","","","","","","10.4","","","","30","","33",""
"-121.50","49.37","HOPE A","1113542","2021-01-18","2021","01","18","","7.7","","2.0","","4.9","","13.1","","0.0","","","","","","0.0","","","","","M","","M"
"-121.50","49.37","HOPE A","1113542","2021-01-19","2021","01","19","","7.9","","0.4","","4.2","","13.8","","0.0","","","","","","0.0","","","","27","","39",""
"-121.50","49.37","HOPE A","1113542","2021-01-20","2021","01","20","","7.3","","2.5","","4.9","","13.1","","0.0","","","","","","0.0","","","","","M","","M"
"-121.50","49.37","HOPE A","1113542","2021-01-21","2021","01","21","","7.1","","2.7","","4.9","","13.1","","0.0","","","","","","0.0","","","","12","","41",""
"-121.50","49.37","HOPE A","1113542","2021-01-22","2021","01","22","","3.6","","-0.8","","1.4","","16.6","","0.0","","","","","","0.0","","","","13","","42",""
"-121.50","49.37","HOPE A","1113542","2021-01-23","2021","01","23","","0.7","","-4.0","","-1.7","","19.7","","0.0","","","","","","0.0","","","","11","","37",""
"-121.50","49.37","HOPE A","1113542","2021-01-24","2021","01","24","","1.9","","-2.3","","-0.2","","18.2","","0.0","","","","","","0.0","","","","","M","","M"
"-121.50","49.37","HOPE A","1113542","2021-01-25","2021","01","25","","0.9","","-0.3","","0.3","","17.7","","0.0","","","","","","2.6","","","","","M","","M"
"-121.50","49.37","HOPE A","1113542","2021-01-26","2021","01","26","","2.5","","-1.8","","0.4","","17.6","","0.0","","","","","","0.0","","","","","M","","M"
"-121.50","49.37","HOPE A","1113542","2021-01-27","2021","01","27","","3.8","","0.1","","2.0","","16.0","","0.0","","","","","","","M","","","12","","32",""
"-121.50","49.37","HOPE A","1113542","2021-01-28","2021","01","28","","4.0","","0.0","","2.0","","16.0","","0.0","","","","","","0.0","","","","12","","32",""
"-121.50","49.37","HOPE A","1113542","2021-01-29","2021","01","29","","5.2","","0.5","","2.9","","15.1","","0.0","","","","","","0.0","","","","","M","","M"
"-121.50","49.37","HOPE A","1113542","2021-01-30","2021","01","30","","2.8","","-0.9","","1.0","","17.0","","0.0","","","","","","0.2","","","","","M","","M"
"-121.50","49.37","HOPE A","1113542","2021-01-31","2021","01","31","","4.6","","1.8","","3.2","","14.8","","0.0","","","","","","28.9","","","","","M","","M"
"-121.50","49.37","HOPE A","1113542","2021-02-01","2021","02","01","","5.0","","1.5","","3.3","","14.7","","0.0","","","","","","15.5","","","","","M","","M"
"-121.50","49.37","HOPE A","1113542","2021-02-02","2021","02","02","","5.6","","1.3","","3.5","","14.5","","0.0","","","","","","18.3","","","","30","","52",""
"-121.50","49.37","HOPE A","1113542","2021-02-03","2021","02","03","","7.3","","0.5","","3.9","","14.1","","0.0","","","","","","0.0","","","","","M","","M"
"-121.50","49.37","HOPE A","1113542","2021-02-04","2021","02","04","","6.2","","3.2","","4.7","","13.3","","0.0","","","","","","31.0","","","","28","","39",""
"-121.50","49.37","HOPE A","1113542","2021-02-05","2021","02","05","","7.9","","4.6","","6.3","","11.7","","0.0","","","","","","10.0","","","","30","","54",""
"-121.50","49.37","HOPE A","1113542","2021-02-06","2021","02","06","","8.2","","4.5","","6.4","","11.6","","0.0","","","","","","34.6","","","","28","","59",""
"-121.50","49.37","HOPE A","1113542","2021-02-07","2021","02","07","","6.1","","-0.2","","3.0","","15.0","","0.0","","","","","","27.2","","","","29","","37",""
"-121.50","49.37","HOPE A","1113542","2021-02-08","2021","02","08","","0.6","","-5.0","","-2.2","","20.2","","0.0","","","","","","","M","","","12","","42",""
"-121.50","49.37","HOPE A","1113542","2021-02-09","2021","02","09","","-4.9","","-9.0","","-7.0","","25.0","","0.0","","","","","","0.0","","","","12","","48",""
"-121.50","49.37","HOPE A","1113542","2021-02-10","2021","02","10","","-7.1","","-9.2","","-8.2","","26.2","","0.0","","","","","","0.0","","","","12","","50",""
"-121.50","49.37","HOPE A","1113542","2021-02-11","2021","02","11","","-8.1","","-13.4","","-10.8","","28.8","","0.0","","","","","","0.0","","","","12","","65",""
"-121.50","49.37","HOPE A","1113542","2021-02-12","2021","02","12","","-5.4","","-12.9","","-9.2","","27.2","","0.0","","","","","","0.0","","","","11","","71",""
"-121.50","49.37","HOPE A","1113542","2021-02-13","2021","02","13","","-0.8","","-6.1","","-3.5","","21.5","","0.0","","","","","","0.0","","","","12","","61",""
"-121.50","49.37","HOPE A","1113542","2021-02-14","2021","02","14","","0.8","","-4.4","","-1.8","","19.8","","0.0","","","","","","0.0","","","","12","","39",""
"-121.50","49.37","HOPE A","1113542","2021-02-15","2021","02","15","","1.8","","-1.4","","0.2","","17.8","","0.0","","","","","","0.0","","","","12","","35",""
"-121.50","49.37","HOPE A","1113542","2021-02-16","2021","02","16","","4.0","","-0.2","","1.9","","16.1","","0.0","","","","","","16.2","","","","","M","","M"
"-121.50","49.37","HOPE A","1113542","2021-02-17","2021","02","17","","6.3","","-0.6","","2.9","","15.1","","0.0","","","","","","0.7","","","","","M","","M"
