"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-73.42","45.52","MONTREAL/ST-HUBERT","7027329","2021-01-01","2021","01","01","","-1.0","","-8.3","","-4.7","","22.7","","0.0","","","","","","0.0","","","","","M","","M"
"-73.42","45.52","MONTREAL/ST-HUBERT","7027329","2021-01-02","2021","01","02","","-1.0","","-5.7","","-3.4","","21.4","","0.0","","","","","","","M","","","1","","39",""
"-73.42","45.52","MONTREAL/ST-HUBERT","7027329","2021-01-03","2021","01","03","","-1.2","","-4.4","","-2.8","","20.8","","0.0","","","","","","","M","","","","M","","M"
"-73.42","45.52","MONTREAL/ST-HUBERT","7027329","2021-01-04","2021","01","04","","-1.5","","-3.6","","-2.6","","20.6","","0.0","","","","","","","M","","","","M","","M"
"-73.42","45.52","MONTREAL/ST-HUBERT","7027329","2021-01-05","2021","01","05","","-2.9","","-3.7","","-3.3","","21.3","","0.0","","","","","","","M","","","2","","33",""
"-73.42","45.52","MONTREAL/ST-HUBERT","7027329","2021-01-06","2021","01","06","","-1.0","","-8.4","","-4.7","","22.7","","0.0","","","","","","","M","","","","M","","M"
"-73.42","45.52","MONTREAL/ST-HUBERT","7027329","2021-01-07","2021","01","07","","-0.9","","-7.1","","-4.0","","22.0","","0.0","","","","","","","M","","","","M","","M"
"-73.42","45.52","MONTREAL/ST-HUBERT","7027329","2021-01-08","2021","01","08","","-4.8","","-9.3","","-7.1","","25.1","","0.0","","","","","","","M","","","","M","","M"
"-73.42","45.52","MONTREAL/ST-HUBERT","7027329","2021-01-09","2021","01","09","","1.2","","-10.6","","-4.7","","22.7","","0.0","","","","","","","M","","","","M","","M"
"-73.42","45.52","MONTREAL/ST-HUBERT","7027329","2021-01-10","2021","01","10","","-4.1","","-11.8","","-8.0","","26.0","","0.0","","","","","","0.0","","","","24","","33",""
"-73.42","45.52","MONTREAL/ST-HUBERT","7027329","2021-01-11","2021","01","11","","-1.5","","-7.4","","-4.5","","22.5","","0.0","","","","","","0.0","","","","","M","","M"
"-73.42","45.52","MONTREAL/ST-HUBERT","7027329","2021-01-12","2021","01","12","","0.2","","-1.5","","-0.7","","18.7","","0.0","","","","","","0.0","","","","25","","37",""
"-73.42","45.52","MONTREAL/ST-HUBERT","7027329","2021-01-13","2021","01","13","","1.0","","-2.3","","-0.7","","18.7","","0.0","","","","","","0.2","","","","","M","","M"
"-73.42","45.52","MONTREAL/ST-HUBERT","7027329","2021-01-14","2021","01","14","","1.7","","-1.3","","0.2","","17.8","","0.0","","","","","","0.0","","","","","M","","M"
