"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-126.00","53.77","OOTSA LAKESKINS LAKE CLIMATE","1085836","2021-01-01","2021","01","01","","2.7","","-4.0","","-0.6","","18.6","","0.0","","","","","","1.4","","21","","","","",""
"-126.00","53.77","OOTSA LAKESKINS LAKE CLIMATE","1085836","2021-01-02","2021","01","02","","4.0","","0.6","","2.3","","15.7","","0.0","","","","","","0.0","","22","","19","","62",""
"-126.00","53.77","OOTSA LAKESKINS LAKE CLIMATE","1085836","2021-01-03","2021","01","03","","2.3","","-2.3","","0.0","","18.0","","0.0","","","","","","0.0","","21","","19","","53",""
"-126.00","53.77","OOTSA LAKESKINS LAKE CLIMATE","1085836","2021-01-04","2021","01","04","","0.2","","-7.5","","-3.6","","21.6","","0.0","","","","","","0.9","","20","","","","",""
"-126.00","53.77","OOTSA LAKESKINS LAKE CLIMATE","1085836","2021-01-05","2021","01","05","","4.2","","-7.1","","-1.4","","19.4","","0.0","","","","","","0.0","","22","","16","","59",""
"-126.00","53.77","OOTSA LAKESKINS LAKE CLIMATE","1085836","2021-01-06","2021","01","06","","3.3","","-4.3","","-0.5","","18.5","","0.0","","","","","","0.0","","20","","20","","67",""
"-126.00","53.77","OOTSA LAKESKINS LAKE CLIMATE","1085836","2021-01-07","2021","01","07","","1.9","","-7.9","","-3.0","","21.0","","0.0","","","","","","0.0","","20","","","","",""
"-126.00","53.77","OOTSA LAKESKINS LAKE CLIMATE","1085836","2021-01-08","2021","01","08","","1.0","","-7.4","","-3.2","","21.2","","0.0","","","","","","0.0","","20","","","","",""
"-126.00","53.77","OOTSA LAKESKINS LAKE CLIMATE","1085836","2021-01-09","2021","01","09","","-2.9","","-11.0","","-7.0","","25.0","","0.0","","","","","","0.3","","20","","","","",""
"-126.00","53.77","OOTSA LAKESKINS LAKE CLIMATE","1085836","2021-01-10","2021","01","10","","4.2","","-4.6","","-0.2","","18.2","","0.0","","","","","","0.0","","21","","14","","36",""
"-126.00","53.77","OOTSA LAKESKINS LAKE CLIMATE","1085836","2021-01-11","2021","01","11","","4.6","","-3.3","","0.7","","17.3","","0.0","","","","","","0.0","","20","","20","","72",""
"-126.00","53.77","OOTSA LAKESKINS LAKE CLIMATE","1085836","2021-01-12","2021","01","12","","3.2","","-3.6","","-0.2","","18.2","","0.0","","","","","","0.0","","19","","23","","46",""
"-126.00","53.77","OOTSA LAKESKINS LAKE CLIMATE","1085836","2021-01-13","2021","01","13","","2.2","","-4.4","","-1.1","","19.1","","0.0","","","","","","0.0","","19","","23","","50",""
"-126.00","53.77","OOTSA LAKESKINS LAKE CLIMATE","1085836","2021-01-14","2021","01","14","","0.1","","-5.5","","-2.7","","20.7","","0.0","","","","","","0.5","","20","","","","",""
"-126.00","53.77","OOTSA LAKESKINS LAKE CLIMATE","1085836","2021-01-15","2021","01","15","","3.9","","-2.8","","0.5","","17.5","","0.0","","","","","","0.5","","19","","22","","60",""
"-126.00","53.77","OOTSA LAKESKINS LAKE CLIMATE","1085836","2021-01-16","2021","01","16","","2.7","","-0.4","","1.1","","16.9","","0.0","","","","","","0.0","","19","","14","","31",""
"-126.00","53.77","OOTSA LAKESKINS LAKE CLIMATE","1085836","2021-01-17","2021","01","17","","5.0","","-2.9","","1.1","","16.9","","0.0","","","","","","0.0","","19","","27","","52",""
"-126.00","53.77","OOTSA LAKESKINS LAKE CLIMATE","1085836","2021-01-18","2021","01","18","","2.1","","-5.1","","-1.5","","19.5","","0.0","","","","","","0.0","","19","","","","",""
"-126.00","53.77","OOTSA LAKESKINS LAKE CLIMATE","1085836","2021-01-19","2021","01","19","","5.8","","-1.3","","2.2","","15.8","","0.0","","","","","","0.8","","19","","23","","73",""
"-126.00","53.77","OOTSA LAKESKINS LAKE CLIMATE","1085836","2021-01-20","2021","01","20","","-0.1","","-9.0","","-4.5","","22.5","","0.0","","","","","","0.0","","15","","26","","38",""
"-126.00","53.77","OOTSA LAKESKINS LAKE CLIMATE","1085836","2021-01-21","2021","01","21","","-7.4","","-10.6","","-9.0","","27.0","","0.0","","","","","","0.0","","15","","","","",""
"-126.00","53.77","OOTSA LAKESKINS LAKE CLIMATE","1085836","2021-01-22","2021","01","22","","-7.9","","-11.2","","-9.6","","27.6","","0.0","","","","","","0.0","","15","","","","",""
"-126.00","53.77","OOTSA LAKESKINS LAKE CLIMATE","1085836","2021-01-23","2021","01","23","","-9.3","","-14.1","","-11.7","","29.7","","0.0","","","","","","0.7","","15","","","","",""
"-126.00","53.77","OOTSA LAKESKINS LAKE CLIMATE","1085836","2021-01-24","2021","01","24","","-6.0","","-9.3","","-7.6","","25.6","","0.0","","","","","","4.3","","22","","","","",""
