"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-72.73","46.56","SHAWINIGAN","7018001","2017-01-01","2017","01","01","","-2.3","","-9.8","","-6.1","","24.1","","0.0","","","M","","M","","M","","","","","<31",""
"-72.73","46.56","SHAWINIGAN","7018001","2017-01-02","2017","01","02","","-0.3","","-12.6","","-6.5","","24.5","","0.0","","","M","","M","","M","","","","","<31",""
"-72.73","46.56","SHAWINIGAN","7018001","2017-01-03","2017","01","03","","-3.1","","-6.7","","-4.9","","22.9","","0.0","","","M","","M","","M","","","8","","44",""
"-72.73","46.56","SHAWINIGAN","7018001","2017-01-04","2017","01","04","","-2.0","","-6.2","","-4.1","","22.1","","0.0","","","M","","M","","M","","","7","","50",""
"-72.73","46.56","SHAWINIGAN","7018001","2017-01-05","2017","01","05","","-6.2","","-20.1","","-13.2","","31.2","","0.0","","","M","","M","","M","","","23","","41",""
"-72.73","46.56","SHAWINIGAN","7018001","2017-01-06","2017","01","06","","-9.8","","-23.3","","-16.6","","34.6","","0.0","","","M","","M","","M","","","","","<31",""
"-72.73","46.56","SHAWINIGAN","7018001","2017-01-07","2017","01","07","","-12.1","","-21.9","","-17.0","","35.0","","0.0","","","M","","M","","M","","","","","<31",""
"-72.73","46.56","SHAWINIGAN","7018001","2017-01-08","2017","01","08","","-12.9","","-23.5","","-18.2","","36.2","","0.0","","","M","","M","","M","","","","","<31",""
"-72.73","46.56","SHAWINIGAN","7018001","2017-01-09","2017","01","09","","-15.7","","-28.0","","-21.9","","39.9","","0.0","","","M","","M","","M","","","","","<31",""
"-72.73","46.56","SHAWINIGAN","7018001","2017-01-10","2017","01","10","","-0.4","","-16.4","","-8.4","","26.4","","0.0","","","M","","M","","M","","","","","<31",""
"-72.73","46.56","SHAWINIGAN","7018001","2017-01-11","2017","01","11","","4.7","","-0.4","","2.2","","15.8","","0.0","","","M","","M","","M","","","22","","61",""
"-72.73","46.56","SHAWINIGAN","7018001","2017-01-12","2017","01","12","","2.4","","-2.4","","0.0","","18.0","","0.0","","","M","","M","","M","","","","","<31",""
"-72.73","46.56","SHAWINIGAN","7018001","2017-01-13","2017","01","13","","-0.9","","-19.6","","-10.3","","28.3","","0.0","","","M","","M","","M","","","31","","50",""
"-72.73","46.56","SHAWINIGAN","7018001","2017-01-14","2017","01","14","","-11.6","","-25.0","","-18.3","","36.3","","0.0","","","M","","M","","M","","","","","<31",""
"-72.73","46.56","SHAWINIGAN","7018001","2017-01-15","2017","01","15","","-10.1","","-16.4","","-13.3","","31.3","","0.0","","","M","","M","","M","","","","","<31",""
"-72.73","46.56","SHAWINIGAN","7018001","2017-01-16","2017","01","16","","-0.8","","-17.3","","-9.1","","27.1","","0.0","","","M","","M","","M","","","21","","39",""
"-72.73","46.56","SHAWINIGAN","7018001","2017-01-17","2017","01","17","","-1.2","","-7.8","","-4.5","","22.5","","0.0","","","M","","M","","M","","","7","","35",""
"-72.73","46.56","SHAWINIGAN","7018001","2017-01-18","2017","01","18","","-4.8","","-8.0","","-6.4","","24.4","","0.0","","","M","","M","","M","","","","","<31",""
