"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-97.81","50.01","MARQUETTE","5021695","2023-01-01","2023","01","01","†","-7.0","","-8.0","","-7.5","","25.5","","0.0","","0.0","","0.0","","0.0","","26","","","","",""
"-97.81","50.01","MARQUETTE","5021695","2023-01-02","2023","01","02","†","-9.0","","-15.0","","-12.0","","30.0","","0.0","","0.0","","0.0","","0.0","","26","","","","",""
"-97.81","50.01","MARQUETTE","5021695","2023-01-03","2023","01","03","†","-12.0","","-19.0","","-15.5","","33.5","","0.0","","0.0","","0.0","","0.0","","26","","","","",""
"-97.81","50.01","MARQUETTE","5021695","2023-01-04","2023","01","04","","","","","","","","","","","","","","","","","","","","","","",""
"-97.81","50.01","MARQUETTE","5021695","2023-01-05","2023","01","05","","","","","","","","","","","","","","","","","","","","","","",""
"-97.81","50.01","MARQUETTE","5021695","2023-01-06","2023","01","06","","","","","","","","","","","","","","","","","","","","","","",""
"-97.81","50.01","MARQUETTE","5021695","2023-01-07","2023","01","07","","","","","","","","","","","","","","","","","","","","","","",""
"-97.81","50.01","MARQUETTE","5021695","2023-01-08","2023","01","08","","","","","","","","","","","","","","","","","","","","","","",""
"-97.81","50.01","MARQUETTE","5021695","2023-01-09","2023","01","09","","","","","","","","","","","","","","","","","","","","","","",""
"-97.81","50.01","MARQUETTE","5021695","2023-01-10","2023","01","10","","","","","","","","","","","","","","","","","","","","","","",""
"-97.81","50.01","MARQUETTE","5021695","2023-01-11","2023","01","11","","","","","","","","","","","","","","","","","","","","","","",""
"-97.81","50.01","MARQUETTE","5021695","2023-01-12","2023","01","12","","","","","","","","","","","","","","","","","","","","","","",""
"-97.81","50.01","MARQUETTE","5021695","2023-01-13","2023","01","13","","","","","","","","","","","","","","","","","","","","","","",""
"-97.81","50.01","MARQUETTE","5021695","2023-01-14","2023","01","14","","","","","","","","","","","","","","","","","","","","","","",""
"-97.81","50.01","MARQUETTE","5021695","2023-01-15","2023","01","15","†","-3.0","","-8.0","","-5.5","","23.5","","0.0","","0.0","","0.0","","0.0","","26","","","","",""
"-97.81","50.01","MARQUETTE","5021695","2023-01-16","2023","01","16","†","-5.0","","-9.5","","-7.3","","25.3","","0.0","","0.0","","0.0","","0.0","","26","","","","",""
"-97.81","50.01","MARQUETTE","5021695","2023-01-17","2023","01","17","†","-10.0","","-15.0","","-12.5","","30.5","","0.0","","0.0","","0.0","","0.0","","26","","","","",""
"-97.81","50.01","MARQUETTE","5021695","2023-01-18","2023","01","18","†","-2.5","","-12.0","","-7.3","","25.3","","0.0","","0.0","","0.8","","0.8","","26","","","","",""
"-97.81","50.01","MARQUETTE","5021695","2023-01-19","2023","01","19","†","-6.5","","-9.0","","-7.8","","25.8","","0.0","","0.0","","0.0","","0.0","","27","","","","",""
"-97.81","50.01","MARQUETTE","5021695","2023-01-20","2023","01","20","†","-6.5","","-8.0","","-7.3","","25.3","","0.0","","0.0","","0.0","","0.0","","27","","","","",""
"-97.81","50.01","MARQUETTE","5021695","2023-01-21","2023","01","21","†","-6.0","","-11.5","","-8.8","","26.8","","0.0","","0.0","","0.0","","0.0","","26","","","","",""
"-97.81","50.01","MARQUETTE","5021695","2023-01-22","2023","01","22","†","0.0","","-17.5","","-8.8","","26.8","","0.0","","0.0","","2.0","","2.0","","26","","","","",""
"-97.81","50.01","MARQUETTE","5021695","2023-01-23","2023","01","23","†","-0.5","","-8.0","","-4.3","","22.3","","0.0","","0.0","","2.0","","2.0","","28","","","","",""
"-97.81","50.01","MARQUETTE","5021695","2023-01-24","2023","01","24","","","","","","","","","","","","","","","","","","","","","","",""
"-97.81","50.01","MARQUETTE","5021695","2023-01-25","2023","01","25","","","","","","","","","","","","","","","","","","","","","","",""
"-97.81","50.01","MARQUETTE","5021695","2023-01-26","2023","01","26","","","","","","","","","","","","","","","","","","","","","","",""
"-97.81","50.01","MARQUETTE","5021695","2023-01-27","2023","01","27","†","-15.5","","-22.5","","-19.0","","37.0","","0.0","","0.0","","0.0","","0.0","","33","","","","",""
"-97.81","50.01","MARQUETTE","5021695","2023-01-28","2023","01","28","†","-21.0","","-28.0","","-24.5","","42.5","","0.0","","0.0","","0.0","","0.0","","33","","","","",""
"-97.81","50.01","MARQUETTE","5021695","2023-01-29","2023","01","29","†","-21.0","","-27.0","","-24.0","","42.0","","0.0","","0.0","","0.0","","0.0","","32","","","","",""
"-97.81","50.01","MARQUETTE","5021695","2023-01-30","2023","01","30","†","-17.5","","-31.0","","-24.3","","42.3","","0.0","","0.0","","0.0","","0.0","","32","","","","",""
"-97.81","50.01","MARQUETTE","5021695","2023-01-31","2023","01","31","†","-20.0","","-29.0","","-24.5","","42.5","","0.0","","0.0","","0.0","","0.0","","32","","","","",""
"-97.81","50.01","MARQUETTE","5021695","2023-02-01","2023","02","01","†","-13.0","","-29.0","","-21.0","","39.0","","0.0","","0.0","","0.0","","0.0","","32","","","","",""
"-97.81","50.01","MARQUETTE","5021695","2023-02-02","2023","02","02","†","-24.5","","-27.0","","-25.8","","43.8","","0.0","","0.0","","0.0","","0.0","","32","","","","",""
"-97.81","50.01","MARQUETTE","5021695","2023-02-03","2023","02","03","†","-16.0","","-30.0","","-23.0","","41.0","","0.0","","0.0","","0.0","","0.0","","31","","","","",""
"-97.81","50.01","MARQUETTE","5021695","2023-02-04","2023","02","04","†","-9.5","","-19.5","","-14.5","","32.5","","0.0","","0.0","","0.8","","0.8","","31","","","","",""
"-97.81","50.01","MARQUETTE","5021695","2023-02-05","2023","02","05","†","-6.0","","-15.5","","-10.8","","28.8","","0.0","","0.0","","0.0","T","0.0","T","32","","","","",""
